Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
6	10	11	12	16	17	31	32	36	37	3	5	7	13	20	24	26	35	38	39	3	1	53	528	13951	888	675	7	55	3	0	1	0	
7	10	14	17	18	20	25	26	33	39	0	3	4	9	15	19	22	23	28	30	3	2	73	0	29835	410	7686	1116	16	2	0	1	0	
0	5	9	10	13	17	20	21	22	30	4	8	16	18	24	25	31	33	36	38	0	3	33	150	111	219	83	0	0	0	2	0	0	
4	8	13	14	19	24	30	32	35	37	1	2	6	7	10	21	22	23	27	29	3	0	69	807	0	0	151	735	19	0	1	1	0	
1	3	6	22	23	24	27	28	32	38	0	2	5	9	14	16	17	25	29	39	2	1	68	352	162	0	0	0	78	3	1	1	0	
6	12	13	14	15	16	18	19	26	38	2	7	11	21	22	25	30	32	34	36	0	2	27	0	126976	65528	1036	6	0	4	1	1	0	
1	7	12	18	24	25	26	30	33	37	0	3	9	13	17	19	23	29	35	39	3	3	90	109	0	641	505	0	40	4	2	0	0	
2	4	5	6	8	12	22	32	34	35	1	3	13	17	19	21	23	29	33	37	3	0	49	2307	742	0	902	0	97	3	0	1	0	
6	11	12	16	20	25	26	28	31	32	1	5	10	18	19	21	22	23	24	37	1	1	30	136	157	0	133	253	0	4	0	1	0	
0	1	5	13	15	16	20	24	26	35	4	7	8	12	18	19	28	32	34	38	1	2	49	90	5089	0	116	0	0	20	2	0	0	
7	8	10	18	20	24	26	30	32	38	0	1	11	12	13	14	21	22	27	28	3	3	37	100	0	16821	1179	1445	0	15	2	1	0	
0	9	10	12	16	23	28	29	30	37	2	7	8	17	21	24	26	31	32	39	3	0	67	1083	0	487	652	192	0	8	1	1	0	
2	4	6	11	14	16	32	35	36	39	1	7	8	10	15	18	22	25	33	38	2	1	22	392	14361	668	10417	346	66	7	0	0	0	
1	4	5	21	22	24	27	32	38	39	6	13	16	18	19	20	29	31	33	37	1	2	110	1041	360	638	201	46	3	0	1	0	0	
1	3	14	17	20	23	30	33	37	38	4	10	11	16	19	21	26	29	31	34	0	3	40	296	0	59	199	101	0	3	1	0	0	
2	8	12	16	17	29	33	35	36	38	0	1	4	5	13	15	27	30	34	39	1	0	19	739	238	0	21556	4	0	5	1	1	0	
2	3	13	14	16	22	24	27	37	38	5	7	9	11	17	18	21	29	33	34	2	1	47	76	1122	64	0	5	8	4	1	0	0	
1	3	9	10	11	30	33	34	38	39	0	5	6	7	15	20	21	25	27	29	1	2	45	370	0	0	793	748	10	2	1	0	0	
0	2	3	6	12	20	21	23	31	39	1	7	11	18	24	25	28	30	32	37	0	3	62	0	601	0	6018	700	15	2	0	1	0	
3	9	11	12	15	19	23	24	33	39	1	4	13	14	16	22	25	26	29	38	2	0	83	781	0	28316	933	7	7	5	2	0	0	
0	2	6	16	20	21	27	29	34	35	1	3	9	11	14	17	26	30	33	37	2	1	86	171	109	0	31926	1612	51	0	2	1	0	
7	14	19	22	29	30	34	35	38	39	8	10	18	23	24	25	27	33	36	37	2	2	82	503	646	6036	165	0	23	7	3	1	0	
3	9	12	17	19	21	28	32	35	37	6	7	8	15	18	22	25	29	30	36	3	3	80	199	100	0	15148	52	0	2	0	1	0	
