Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
44	12	21	43	2	0	3	25	2	0	4	4	2	0	1	1	2	0	0	2	0	4	3	4	3	0	0	0	1	47
30	30	22	38	11	4	2	13	1	1	5	3	2	1	0	1	0	0	2	2	1	4	4	4	4	0	1	0	0	61
23	28	31	38	10	5	11	4	1	3	2	4	1	0	2	1	1	1	0	2	1	4	4	4	4	0	0	1	0	81
18	21	34	47	2	3	10	15	1	3	1	5	0	1	0	3	0	0	3	1	0	4	4	4	4	0	0	0	1	0
36	50	14	20	13	11	0	6	3	3	1	3	1	3	0	0	2	1	0	1	0	4	4	4	4	0	0	0	1	23
41	34	23	22	0	17	2	11	0	4	3	3	2	0	0	2	1	2	1	0	0	3	4	4	4	1	0	0	0	63
29	25	35	31	10	3	0	17	3	2	1	4	1	0	2	1	1	1	1	1	0	4	4	4	4	1	0	0	0	42
30	26	47	17	13	0	15	2	3	1	2	4	0	1	2	1	2	1	1	0	1	4	4	4	4	0	1	0	0	65
47	30	29	14	0	30	0	0	1	6	0	3	3	1	0	0	0	1	2	1	0	4	4	3	4	0	1	0	0	75
44	39	31	6	14	3	11	2	3	2	3	2	1	1	2	0	2	2	0	0	1	4	4	3	4	1	0	0	0	83
19	21	59	21	10	3	13	4	3	2	3	2	0	1	3	0	1	0	2	1	1	4	4	4	4	0	0	1	0	105
10	33	30	47	3	15	2	10	4	2	2	2	0	1	2	1	0	1	0	3	0	4	4	4	4	0	1	0	0	59
31	38	38	13	13	3	10	4	4	1	3	2	1	1	2	0	1	2	1	0	1	3	4	4	4	0	0	1	0	120
18	26	42	34	0	5	14	11	2	4	3	1	1	1	1	1	0	1	2	1	0	4	4	4	4	0	0	1	0	72
28	57	29	6	13	13	0	4	3	3	2	2	2	1	1	0	0	3	1	0	1	4	4	4	4	0	0	0	1	57
43	14	33	30	7	2	10	11	2	3	2	3	2	0	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	52
28	27	28	37	10	3	13	4	1	4	3	2	1	1	1	1	1	1	1	1	1	4	4	4	4	0	0	0	1	53
9	31	35	45	2	10	4	14	3	4	1	2	0	1	2	1	0	2	0	2	0	3	4	4	4	0	1	0	0	61
25	18	41	36	10	6	14	0	3	3	3	1	1	0	2	1	1	0	1	2	1	3	4	4	4	1	0	0	0	73
23	35	55	7	2	0	28	0	2	2	4	2	0	2	2	0	1	1	2	0	1	3	4	3	4	0	0	1	0	94
2	53	44	21	2	11	17	0	5	1	3	1	0	3	1	0	0	1	2	1	0	4	4	4	4	0	1	0	0	39
35	18	29	38	0	0	11	19	0	1	3	6	2	1	1	0	1	0	1	2	1	3	4	4	3	0	0	0	1	68
48	31	12	29	23	0	7	0	3	2	3	2	2	0	0	2	2	2	0	0	1	4	4	4	4	0	0	0	1	63
28	22	32	38	2	13	11	4	3	3	1	3	1	0	2	1	1	1	0	2	1	4	4	4	4	0	0	1	0	70
