Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
30	40	19	31	0	21	3	6	2	2	2	4	1	2	0	1	1	1	1	1	0	4	4	4	4	0	1	0	0	34
25	32	34	29	12	11	4	3	3	2	2	3	0	2	1	1	2	0	1	1	0	3	4	4	3	0	0	0	1	98
29	21	37	33	21	4	2	3	3	3	2	2	1	0	2	1	1	1	1	1	1	4	4	4	4	0	0	1	0	39
27	19	44	30	14	4	10	2	5	2	2	1	1	0	2	1	1	0	2	1	1	3	4	4	4	1	0	0	0	113
24	35	16	45	14	4	0	12	4	2	2	2	1	1	1	1	1	1	0	2	1	4	4	4	4	0	0	1	0	38
27	18	34	41	10	0	20	0	2	1	5	2	0	1	1	2	2	0	1	1	1	4	4	4	4	0	1	0	0	81
36	38	12	34	14	2	3	11	3	2	2	3	1	1	0	2	1	2	0	1	0	4	4	4	3	0	0	0	1	36
8	30	34	48	4	12	14	0	3	3	3	1	0	1	1	2	0	1	1	2	1	4	4	4	4	1	0	0	0	49
35	22	39	24	11	4	0	15	1	2	2	5	3	0	1	0	0	1	2	1	1	4	4	4	4	0	0	1	0	78
22	38	31	29	7	2	21	0	3	2	3	2	1	1	1	1	0	2	1	1	1	4	4	4	4	0	1	0	0	81
4	59	29	28	0	0	19	11	0	1	5	4	0	3	0	1	0	2	1	1	0	3	4	3	4	0	0	0	1	29
40	35	31	14	11	3	10	6	2	1	2	5	1	2	1	0	2	1	1	0	1	4	4	4	4	0	0	0	1	61
37	31	22	30	13	4	0	13	4	2	1	3	2	0	0	2	1	2	1	0	0	4	4	4	4	0	0	1	0	91
36	15	25	44	3	2	4	21	2	2	2	4	1	0	1	2	1	1	0	2	0	4	4	4	4	1	0	0	0	53
52	30	10	28	27	3	0	0	5	2	1	2	2	0	0	2	2	2	0	0	1	4	4	4	4	1	0	0	0	69
24	29	19	48	0	10	9	11	1	2	5	2	0	0	0	4	1	2	1	0	0	4	3	3	4	0	1	0	0	68
43	16	23	38	9	10	0	11	3	4	2	1	2	0	0	2	1	1	2	0	0	4	4	4	4	0	0	0	1	67
19	42	26	33	3	14	0	13	3	2	1	4	1	2	0	1	0	1	2	1	0	4	4	4	4	0	0	1	0	59
16	21	21	62	0	3	0	27	3	3	0	4	1	1	0	2	0	0	1	3	0	3	4	3	4	1	0	0	0	27
28	10	38	44	0	2	11	17	0	4	2	4	1	0	2	1	1	0	1	2	1	3	3	4	4	0	1	0	0	48
16	37	35	32	7	11	10	2	3	3	3	1	0	2	1	1	0	1	2	1	0	4	4	3	4	1	0	0	0	45
12	39	31	38	3	23	4	0	2	5	2	1	0	1	1	2	0	2	1	1	0	4	4	4	4	0	1	0	0	22
12	59	31	18	0	0	16	14	2	3	3	2	0	3	1	0	0	2	1	1	1	4	4	3	4	0	1	0	0	36
36	27	32	25	0	12	0	18	0	5	2	3	2	0	1	1	1	2	1	0	0	3	3	4	4	0	0	0	1	36
29	25	40	26	3	4	23	0	3	2	5	0	1	1	2	0	1	0	1	2	1	4	4	3	3	0	0	1	0	102
38	26	44	12	4	2	21	3	1	3	3	3	0	2	2	0	3	0	1	0	1	4	4	4	4	0	0	1	0	64
26	20	39	35	0	2	14	14	2	2	4	2	2	0	1	1	0	1	2	1	0	4	4	3	4	0	0	0	1	84
34	21	42	23	0	11	16	3	3	2	4	1	1	1	2	0	2	0	1	1	0	4	4	4	4	0	0	0	1	81
30	41	13	36	11	3	6	10	2	1	3	4	2	2	0	0	0	1	0	3	1	4	4	4	4	1	0	0	0	36
28	17	27	48	4	2	11	13	2	1	2	5	1	0	1	2	0	1	1	2	1	4	4	4	3	0	0	1	0	63
40	10	31	39	10	0	3	17	3	1	2	4	2	0	0	2	1	1	2	0	0	4	4	4	4	0	1	0	0	81
38	32	37	13	11	12	7	0	2	2	3	3	2	0	2	0	1	2	0	1	1	4	4	4	4	0	0	1	0	78
20	37	27	36	6	3	10	11	5	1	2	2	0	2	0	2	1	1	2	0	0	4	4	4	4	1	0	0	0	59
46	33	31	10	10	11	3	6	2	2	2	4	2	1	1	0	2	1	1	0	0	4	4	4	4	1	0	0	0	71
38	29	6	47	10	2	3	15	1	3	4	2	1	0	0	3	1	2	0	1	0	4	4	4	4	0	0	0	1	53
34	36	25	25	0	20	0	10	2	5	2	1	1	1	1	1	1	1	1	1	0	4	4	4	4	0	0	0	1	59
25	28	36	31	10	0	9	11	1	1	5	3	1	1	0	2	1	1	2	0	0	4	4	4	4	0	1	0	0	42
19	46	43	12	6	0	21	3	4	2	2	2	0	2	2	0	1	2	1	0	1	4	4	3	4	0	1	0	0	86
23	28	30	39	3	11	6	10	2	3	4	1	0	2	1	1	1	0	1	2	0	4	3	4	4	0	0	1	0	55
39	31	19	31	16	14	0	0	5	2	2	1	2	0	1	1	1	2	0	1	1	3	4	4	4	1	0	0	0	82
46	44	2	28	3	23	0	4	2	3	1	4	2	2	0	0	1	2	0	1	0	4	4	4	4	0	0	1	0	38
44	16	27	33	17	11	2	0	4	2	2	2	1	1	1	1	2	0	1	1	0	4	4	4	4	0	0	0	1	90
25	52	14	29	10	5	0	15	3	2	0	5	0	2	0	2	2	1	1	0	0	4	4	3	4	1	0	0	0	26
57	21	12	30	10	2	0	18	2	2	1	5	3	0	0	1	2	1	0	1	0	4	4	4	4	0	1	0	0	36
52	21	26	21	12	3	11	4	3	4	2	1	1	1	2	0	3	0	0	1	1	4	4	4	4	0	0	0	1	90
20	22	51	27	13	13	4	0	3	3	2	2	1	0	2	1	0	1	2	1	1	4	4	4	4	0	0	1	0	86
20	40	29	31	13	4	13	0	3	2	3	2	1	2	0	1	0	1	2	1	1	4	4	4	4	0	1	0	0	64
26	41	25	28	3	17	0	10	2	4	2	2	1	2	1	0	1	1	0	2	0	4	4	4	4	0	0	0	1	27
20	25	41	34	5	11	0	14	2	3	1	4	0	1	2	1	1	1	1	1	0	4	4	4	4	0	0	1	0	47
40	26	27	27	3	0	11	16	2	0	2	6	1	1	1	1	2	0	1	1	1	4	3	4	4	1	0	0	0	27
20	23	34	43	0	3	11	16	1	1	3	5	1	1	2	0	0	0	1	3	1	4	4	3	4	1	0	0	0	58
20	37	47	16	7	2	21	0	2	4	3	1	0	1	2	1	1	2	1	0	1	4	4	4	4	0	0	0	1	61
38	23	23	36	14	4	2	10	3	5	1	1	1	1	1	1	1	0	1	2	1	4	4	4	4	1	0	0	0	38
33	26	27	34	14	13	0	3	4	2	1	3	1	2	0	1	1	0	2	1	0	4	4	4	4	0	1	0	0	72
44	40	18	18	5	14	0	11	2	4	0	4	2	1	0	1	1	2	1	0	0	4	4	3	3	0	1	0	0	69
