Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
23	24	55	18	4	3	23	0	2	2	3	3	0	1	3	0	1	1	1	1	1	4	4	4	4	1	0	0	0	53
20	34	33	33	0	11	6	13	2	4	2	2	1	1	1	1	0	2	1	1	0	4	4	4	4	1	0	0	0	44
6	15	37	62	2	3	11	14	4	2	2	2	0	0	2	2	0	0	1	3	1	4	4	4	4	0	1	0	0	85
41	32	16	31	11	2	14	3	2	1	4	3	1	2	0	1	2	0	1	1	1	3	4	4	4	1	0	0	0	45
21	35	18	46	0	4	2	24	1	2	4	3	1	1	0	2	0	2	1	1	0	4	4	4	4	0	1	0	0	47
17	20	46	37	2	4	3	21	1	2	2	5	1	0	2	1	0	1	1	2	0	4	4	4	4	0	1	0	0	57
19	55	14	32	2	3	10	15	1	3	3	3	0	3	0	1	1	1	1	1	0	4	4	4	4	0	0	1	0	34
44	20	25	31	13	10	7	0	4	2	3	1	2	0	1	1	2	1	0	1	1	4	4	4	4	0	0	1	0	90
32	32	18	38	6	10	3	11	4	1	3	2	0	1	0	3	2	1	1	0	0	4	4	4	4	0	0	1	0	41
25	43	7	45	2	3	0	25	3	1	2	4	1	2	0	1	1	1	0	2	0	3	3	4	4	0	0	1	0	34
30	38	27	25	0	11	9	10	1	1	4	4	2	1	0	1	0	2	1	1	0	4	4	4	4	0	0	0	1	64
38	11	63	8	14	6	10	0	4	4	1	1	2	0	2	0	1	0	3	0	1	4	3	4	4	0	0	0	1	111
62	24	21	13	21	5	4	0	2	4	1	3	3	0	1	0	2	1	0	1	1	4	4	4	4	0	0	0	1	78
21	13	36	50	2	0	14	14	3	1	4	2	1	0	1	2	0	1	1	2	1	4	4	3	4	0	0	0	1	89
4	25	63	28	2	10	14	4	3	3	2	2	0	0	2	2	0	1	3	0	1	4	4	4	4	1	0	0	0	61
11	36	60	13	7	11	12	0	4	2	3	1	0	3	1	0	0	0	4	0	0	4	4	4	4	1	0	0	0	76
39	38	14	29	2	4	0	24	2	1	4	3	3	0	0	1	0	2	1	1	0	4	4	4	4	0	1	0	0	68
36	22	36	26	12	3	0	15	2	1	3	4	1	0	1	2	1	1	2	0	0	4	4	4	4	0	1	0	0	84
35	43	16	26	15	3	0	12	2	3	2	3	1	2	0	1	2	1	0	1	1	4	4	4	4	1	0	0	0	28
27	12	37	44	14	3	13	0	2	5	3	0	0	0	1	3	2	0	2	0	1	4	4	4	3	0	0	1	0	62
43	19	20	38	15	3	0	12	4	3	0	3	1	1	1	1	2	0	0	2	1	4	4	3	4	1	0	0	0	66
25	27	55	13	6	13	11	0	3	4	1	2	1	1	2	0	0	1	2	1	1	4	4	4	4	0	1	0	0	63
36	42	30	12	5	11	14	0	2	3	5	0	2	2	0	0	0	1	2	1	0	4	4	4	3	0	0	1	0	92
29	32	24	35	3	10	0	17	4	1	2	3	2	1	0	1	0	1	2	1	0	4	4	4	3	0	1	0	0	66
16	14	45	45	3	2	0	25	4	1	2	3	0	0	2	2	1	0	2	1	0	4	4	4	4	0	0	0	1	76
31	27	27	35	0	16	3	11	1	5	2	2	0	1	1	2	2	1	0	1	0	4	4	4	4	0	0	0	1	13
29	18	37	36	11	2	10	7	2	3	3	2	2	0	1	1	0	1	2	1	1	4	4	4	4	0	0	1	0	83
21	22	38	39	0	0	17	13	2	2	4	2	0	0	2	2	0	2	1	1	1	4	4	4	4	0	0	0	1	69
22	17	29	52	0	17	13	0	0	5	4	1	1	1	1	1	0	0	1	3	0	3	3	4	4	0	0	1	0	27
45	31	20	24	9	11	10	0	3	3	2	2	2	2	0	0	1	0	1	2	0	4	4	4	4	0	0	0	1	75
20	43	9	48	11	5	4	10	2	3	4	1	1	2	0	1	0	1	0	3	1	4	4	4	4	1	0	0	0	51
44	19	22	35	18	0	2	10	4	2	2	2	3	0	0	1	0	1	1	2	1	3	4	4	4	1	0	0	0	78
15	12	50	43	3	6	10	11	2	4	2	2	0	0	2	2	1	0	2	1	0	4	4	4	4	1	0	0	0	51
31	21	13	55	4	0	5	21	2	1	3	4	1	1	0	2	1	0	0	3	0	4	4	4	4	0	1	0	0	46
25	28	39	28	0	2	14	14	1	1	3	5	1	1	2	0	0	1	1	2	1	4	4	4	4	1	0	0	0	46
43	26	35	16	11	17	2	0	3	3	4	0	3	0	1	0	0	1	2	1	1	4	3	4	3	0	1	0	0	82
23	7	26	64	4	0	2	24	2	1	4	3	1	0	1	2	0	0	1	3	0	4	4	4	4	0	0	1	0	65
30	32	31	27	12	11	4	3	3	2	2	3	0	2	1	1	1	1	1	1	0	4	4	4	4	0	1	0	0	79
10	31	46	33	4	15	11	0	4	3	2	1	0	0	3	1	0	2	0	2	1	4	4	4	4	0	0	1	0	86
24	31	36	29	4	0	21	5	2	3	2	3	0	2	2	0	1	0	1	2	1	4	4	4	4	0	0	0	1	61
26	43	24	27	0	23	0	7	4	4	0	2	2	2	0	0	0	1	2	1	0	4	4	3	4	0	0	0	1	69
28	30	38	24	0	13	6	11	0	3	3	4	1	0	2	1	1	2	1	0	0	3	4	4	4	0	0	1	0	30
39	23	21	37	13	0	17	0	4	0	4	2	2	0	0	2	1	1	1	1	1	4	3	4	4	0	0	0	1	51
38	29	36	17	10	3	11	6	2	3	2	3	1	1	2	0	2	1	1	0	1	4	4	4	4	1	0	0	0	87
52	22	17	29	10	6	3	11	2	3	1	4	2	0	1	1	2	1	0	1	0	4	4	4	4	1	0	0	0	58
32	39	28	21	2	10	11	7	2	2	2	4	0	2	2	0	2	1	0	1	1	4	4	4	4	0	1	0	0	50
