Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
44	30	34	12	13	4	13	0	2	2	3	3	2	0	2	0	1	2	0	1	1	4	4	4	4	1	0	0	0	78
38	25	34	23	0	12	7	11	1	4	3	2	2	0	1	1	0	2	1	1	0	4	4	4	4	0	0	0	1	73
40	30	29	21	10	13	3	4	1	3	2	4	0	2	1	1	3	0	1	0	0	4	4	4	4	1	0	0	0	58
12	39	40	29	7	2	10	11	4	2	1	3	0	1	1	2	0	2	2	0	0	4	4	4	4	1	0	0	0	61
44	14	28	34	13	7	10	0	3	3	2	2	1	0	1	2	2	0	1	1	1	4	4	4	4	0	1	0	0	62
40	33	6	41	10	5	0	15	3	2	3	2	2	0	0	2	1	2	0	1	0	4	4	4	4	0	1	0	0	47
44	22	24	30	15	15	0	0	3	3	2	2	1	1	0	2	2	0	2	0	0	3	4	3	4	0	1	0	0	87
51	14	20	35	6	11	13	0	2	4	3	1	1	1	0	2	3	0	1	0	0	4	4	4	4	1	0	0	0	44
43	12	39	26	7	0	10	13	3	1	2	4	0	0	2	2	2	1	1	0	0	4	4	4	4	0	0	1	0	54
32	22	51	15	2	11	14	3	1	4	2	3	1	2	1	0	1	0	2	1	0	4	4	4	4	0	0	1	0	48
10	23	33	54	3	0	0	27	2	0	3	5	0	1	1	2	0	0	2	2	0	4	3	4	3	0	1	0	0	37
44	27	31	18	21	5	4	0	2	2	2	4	2	0	1	1	1	2	1	0	1	4	3	4	4	0	0	1	0	86
28	43	18	31	10	13	3	4	3	2	3	2	1	3	0	0	1	0	1	2	0	4	4	4	4	0	0	0	1	58
21	30	38	31	2	14	0	14	4	2	1	3	0	0	2	2	1	2	1	0	0	4	4	4	4	0	0	0	1	70
12	23	54	31	4	0	12	14	3	2	2	3	0	0	2	2	0	2	2	0	0	4	4	4	4	0	0	0	1	73
17	28	38	37	4	23	0	3	3	5	1	1	0	1	2	1	1	1	1	1	0	4	4	4	4	1	0	0	0	37
33	43	19	25	12	11	4	3	4	2	1	3	1	3	0	0	1	0	1	2	0	4	4	3	4	0	0	1	0	70
33	39	29	19	10	2	3	15	2	2	3	3	1	1	1	1	1	2	1	0	0	4	4	4	4	1	0	0	0	79
37	25	20	38	11	0	9	10	4	0	3	3	3	0	0	1	0	2	0	2	1	4	3	4	4	0	0	0	1	75
18	45	33	24	4	16	0	10	2	5	0	3	1	2	1	0	0	1	1	2	0	4	3	3	3	1	0	0	0	0
26	50	6	38	0	5	4	21	2	3	3	2	1	2	0	1	0	2	0	2	0	4	4	4	4	0	1	0	0	44
28	56	20	16	14	11	0	5	3	2	1	4	0	4	0	0	2	1	1	0	0	4	4	4	4	0	1	0	0	62
43	29	9	39	21	2	7	0	4	3	3	0	2	0	0	2	1	2	0	1	1	4	3	4	3	0	1	0	0	70
28	23	34	35	6	0	14	10	4	1	4	1	2	1	1	0	0	0	1	3	1	4	4	4	4	0	0	1	0	73
52	16	24	28	2	14	0	14	2	4	0	4	2	0	0	2	2	1	1	0	0	4	4	3	4	0	0	1	0	23
30	25	38	27	6	10	14	0	3	3	3	1	1	0	2	1	1	2	0	1	1	4	4	4	4	0	0	1	0	75
25	25	43	27	11	4	15	0	3	1	3	3	1	1	1	1	1	1	1	1	1	4	4	4	4	0	0	0	1	57
35	37	34	14	2	14	10	4	2	4	1	3	2	2	0	0	0	1	3	0	0	4	4	4	4	0	0	0	1	47
47	25	27	21	21	3	0	6	4	2	1	3	2	1	1	0	2	0	1	1	1	3	4	4	4	1	0	0	0	75
47	27	24	22	13	13	4	0	3	4	3	0	2	1	0	1	2	1	1	0	1	4	3	4	3	0	0	0	1	45
45	12	26	37	15	5	0	10	3	3	2	2	2	0	1	1	1	0	1	2	1	4	3	4	4	1	0	0	0	58
17	14	39	50	0	0	16	14	1	2	5	2	0	1	1	2	1	0	2	1	0	4	4	4	4	1	0	0	0	82
27	20	39	34	3	0	12	15	4	1	2	3	1	1	0	2	1	0	3	0	0	4	4	4	4	0	1	0	0	57
19	29	43	29	3	2	14	11	2	2	2	4	0	1	1	2	1	1	2	0	0	3	4	4	4	0	1	0	0	61
29	27	30	34	0	13	17	0	1	4	5	0	0	1	2	1	2	1	0	1	1	4	4	4	3	1	0	0	0	68
38	19	27	36	0	13	14	3	1	4	2	3	1	1	1	1	2	0	1	1	0	4	4	4	4	0	1	0	0	59
40	41	20	19	12	4	3	11	3	3	2	2	1	1	1	1	2	2	0	0	0	4	4	4	4	0	0	1	0	71
35	39	22	24	21	0	2	7	5	1	1	3	1	2	0	1	2	1	1	0	1	4	4	4	4	0	0	1	0	61
22	24	30	44	0	14	0	16	0	5	1	4	0	0	2	2	1	2	0	1	0	3	4	4	4	0	1	0	0	47
37	21	44	18	11	2	14	3	1	2	4	3	2	1	1	0	1	0	2	1	1	4	4	4	4	0	0	1	0	76
22	42	16	40	14	5	11	0	3	3	3	1	0	1	1	2	1	2	0	1	1	4	4	4	4	0	0	0	1	61
29	26	29	36	3	11	6	10	2	2	2	4	0	1	1	2	2	1	0	1	0	4	4	4	4	0	0	0	1	33
