Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
28	40	25	27	10	11	3	6	1	2	2	5	0	3	0	1	2	0	1	1	0	4	4	4	4	0	0	0	1	15
23	26	31	40	0	15	4	11	0	5	4	1	0	1	2	1	1	1	0	2	0	3	4	4	4	0	1	0	0	70
39	39	30	12	21	0	6	3	3	1	4	2	1	1	2	0	2	2	0	0	1	4	4	4	4	1	0	0	0	82
33	15	41	31	3	0	14	13	2	2	3	3	2	0	1	1	0	1	2	1	0	4	4	4	3	0	0	0	1	109
52	13	23	32	0	11	16	3	2	3	3	2	2	1	0	1	2	0	1	1	0	4	4	4	4	0	0	1	0	101
33	36	20	31	2	10	7	11	1	3	2	4	1	1	1	1	1	2	0	1	0	4	4	4	3	1	0	0	0	33
44	25	25	26	5	4	10	11	3	2	2	3	2	1	0	1	1	0	2	1	0	4	4	4	4	1	0	0	0	56
39	13	36	32	17	0	0	13	5	2	0	3	2	0	1	1	1	0	2	1	0	4	4	3	4	0	1	0	0	84
44	25	28	23	0	14	4	12	0	4	4	2	2	1	1	0	2	0	1	1	0	3	4	4	4	0	1	0	0	73
37	18	9	56	10	0	3	17	2	0	5	3	0	0	0	4	3	1	0	0	0	4	3	4	4	0	0	1	0	52
39	28	32	21	13	11	4	2	4	1	3	2	1	1	1	1	2	1	1	0	0	4	4	4	4	0	0	1	0	73
32	29	21	38	3	10	17	0	2	3	4	1	1	0	1	2	1	2	0	1	1	4	4	4	4	0	0	0	1	60
24	47	30	19	14	4	12	0	3	1	4	2	1	1	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	77
39	20	18	43	0	7	10	13	2	3	1	4	2	1	0	1	1	0	1	2	0	3	4	4	4	0	0	0	1	58
44	20	41	15	11	6	10	3	1	4	2	3	3	0	1	0	0	1	2	1	1	4	4	3	4	0	1	0	0	67
9	31	32	48	0	14	2	14	0	5	1	4	0	2	0	2	0	0	3	1	0	2	3	4	4	1	0	0	0	13
39	19	18	44	0	14	2	14	2	4	1	3	2	0	0	2	1	1	1	1	0	4	4	4	3	1	0	0	0	32
43	14	42	21	14	0	11	5	3	2	2	3	2	0	2	0	1	0	2	1	1	4	4	4	4	0	0	1	0	87
21	37	23	39	0	11	7	12	2	2	4	2	1	2	1	0	0	1	0	3	0	4	4	4	4	0	1	0	0	64
23	26	29	42	2	10	4	14	1	3	3	3	1	0	1	2	0	2	1	1	0	4	4	4	4	0	1	0	0	62
50	33	20	17	10	7	0	13	2	4	0	4	2	1	0	1	2	1	1	0	0	4	4	3	4	0	0	1	0	50
32	27	33	28	15	0	0	15	3	1	1	5	1	2	1	0	1	0	1	2	1	4	4	4	4	0	0	0	1	40
26	32	34	28	0	21	4	5	1	5	2	2	0	2	2	0	2	1	0	1	0	4	4	4	4	1	0	0	0	38
35	21	33	31	3	14	0	13	3	4	1	2	2	0	0	2	1	1	2	0	0	4	4	4	4	0	0	0	1	67
22	34	26	38	2	11	13	4	1	2	5	2	0	2	0	2	2	0	1	1	0	4	4	3	4	0	0	1	0	52
13	52	33	22	0	13	4	13	1	2	4	3	1	2	0	1	0	2	2	0	0	4	4	3	4	1	0	0	0	75
63	14	22	21	21	7	2	0	2	3	1	4	3	0	0	1	3	0	0	1	1	4	4	4	4	1	0	0	0	66
42	30	14	34	11	3	2	14	2	2	3	3	2	1	0	1	1	1	1	1	1	4	4	3	4	0	0	0	1	76
20	28	30	42	0	14	6	10	1	3	2	4	1	1	0	2	0	1	1	2	0	4	4	4	4	0	1	0	0	17
20	34	27	39	3	14	2	11	2	2	3	3	0	1	1	2	1	1	1	1	0	4	3	4	4	0	1	0	0	32
40	7	38	35	4	2	14	10	2	2	3	3	2	0	2	0	1	0	1	2	1	4	4	3	4	1	0	0	0	71
33	36	24	27	4	12	11	3	1	4	3	2	0	2	1	1	2	1	1	0	1	3	4	4	4	0	0	1	0	61
27	26	26	41	3	0	2	25	2	1	2	5	0	2	0	2	1	0	2	1	0	4	4	4	4	0	1	0	0	30
44	29	39	8	2	15	10	3	2	3	3	2	1	2	1	0	2	0	2	0	0	4	4	3	4	0	0	0	1	77
28	33	49	10	14	12	0	4	5	2	0	3	1	1	2	0	1	1	2	0	1	3	4	3	4	0	0	1	0	74
22	23	41	34	3	0	17	10	2	1	4	3	1	1	2	0	0	0	1	3	1	4	3	4	4	0	0	1	0	41
27	61	12	20	11	0	9	10	2	0	7	1	1	3	0	0	0	2	0	2	1	4	3	4	4	0	0	0	1	78
18	25	19	58	0	16	0	14	2	4	2	2	1	0	1	2	0	1	0	3	0	4	4	3	4	0	1	0	0	21
32	46	11	31	5	15	0	10	2	3	3	2	1	2	1	0	1	1	0	2	0	4	4	4	4	0	0	1	0	58
58	28	12	22	0	24	0	6	1	4	2	3	2	1	0	1	3	1	0	0	0	4	3	3	4	0	0	0	1	48
28	21	51	20	3	12	15	0	2	3	2	3	1	0	3	0	1	1	1	1	1	4	4	4	4	1	0	0	0	77
42	17	28	33	0	7	12	11	2	4	3	1	2	0	1	1	2	0	1	1	0	4	4	4	4	0	0	0	1	74
50	8	41	21	14	0	14	2	3	3	3	1	2	0	2	0	2	0	1	1	1	4	4	3	4	1	0	0	0	120
19	36	28	37	0	15	2	13	2	3	3	2	0	2	1	1	1	0	1	2	0	4	4	4	4	1	0	0	0	38
20	18	39	43	2	0	14	14	1	1	5	3	1	1	2	0	0	0	1	3	1	4	4	3	4	1	0	0	0	108
14	15	40	51	0	13	7	10	1	4	3	2	0	1	3	0	0	0	0	4	0	4	4	4	4	0	1	0	0	52
18	33	38	31	3	15	2	10	2	3	3	2	0	2	2	0	1	0	1	2	0	4	3	4	4	0	1	0	0	77
24	41	28	27	2	24	4	0	3	4	2	1	1	1	1	1	0	2	1	1	0	4	4	4	4	0	0	1	0	43
14	33	38	35	4	2	0	24	4	1	0	5	0	0	2	2	0	2	1	1	0	4	4	3	4	0	0	1	0	21
42	31	22	25	2	0	18	10	2	2	4	2	2	1	1	0	1	1	0	2	1	4	4	3	4	0	1	0	0	84
45	19	29	27	3	14	11	2	1	4	2	3	1	0	2	1	2	1	0	1	1	4	4	4	4	0	0	0	1	63
26	49	19	26	10	4	0	16	2	2	2	4	1	1	1	1	1	3	0	0	0	4	4	4	3	0	0	0	1	46
35	15	27	43	15	0	0	15	2	2	1	5	1	1	1	1	1	0	1	2	1	4	4	4	3	0	1	0	0	72
22	49	25	24	12	0	15	3	2	0	5	3	0	2	1	1	1	2	1	0	1	4	3	4	4	0	0	1	0	72
28	38	25	29	14	10	6	0	2	3	4	1	1	1	0	2	1	2	1	0	1	4	4	4	4	0	0	1	0	68
44	33	33	10	21	5	0	4	3	3	1	3	2	2	0	0	1	0	3	0	1	4	4	4	4	1	0	0	0	81
41	22	11	46	11	0	3	16	1	2	2	5	2	0	0	2	1	2	0	1	1	4	4	4	4	0	0	0	1	26
25	23	48	24	0	13	6	11	2	5	2	1	1	0	2	1	1	2	1	0	0	4	4	4	4	0	0	0	1	75
23	12	41	44	5	0	0	25	4	2	1	3	1	0	1	2	0	1	2	1	0	4	4	4	4	1	0	0	0	42
21	29	39	31	16	0	4	10	5	0	2	3	1	1	1	1	0	1	2	1	1	4	3	4	4	1	0	0	0	57
13	26	46	35	2	14	14	0	2	4	4	0	0	1	2	1	0	0	2	2	0	4	3	4	3	0	1	0	0	75
13	33	30	44	0	9	10	11	0	5	4	1	0	1	1	2	1	1	1	1	0	3	4	3	4	1	0	0	0	70
27	50	14	29	2	10	3	15	3	1	2	4	2	1	0	1	0	3	0	1	0	4	4	4	3	0	0	1	0	56
31	21	36	32	13	0	13	4	3	2	3	2	2	0	1	1	0	1	2	1	1	4	4	4	4	0	1	0	0	82
22	37	20	41	0	14	2	14	2	4	2	2	0	2	1	1	1	1	0	2	0	4	4	4	4	0	1	0	0	21
13	54	30	23	0	25	3	2	4	3	2	1	1	2	0	1	0	2	1	1	0	4	3	4	4	0	0	1	0	30
45	14	19	42	11	4	2	13	1	3	3	3	3	0	1	0	0	1	0	3	1	4	4	4	4	0	1	0	0	58
27	35	31	27	11	10	7	2	2	2	5	1	1	2	1	0	1	1	1	1	1	4	4	3	4	0	0	1	0	97
24	23	39	34	11	6	13	0	3	4	2	1	2	0	0	2	0	1	2	1	1	4	4	4	4	0	0	0	1	40
19	21	39	41	0	2	25	3	1	2	4	3	1	1	1	1	0	0	2	2	1	4	4	3	3	0	0	1	0	51
34	14	49	23	16	11	0	3	3	3	1	3	0	1	2	1	2	0	2	0	0	4	3	4	4	0	0	0	1	94
33	21	32	34	3	13	14	0	3	4	3	0	1	1	0	2	1	0	2	1	0	4	4	3	3	0	0	0	1	62
8	43	46	23	4	5	21	0	2	3	4	1	0	0	3	1	0	3	1	0	1	4	4	4	4	1	0	0	0	72
41	43	17	19	10	5	15	0	1	3	4	2	1	2	1	0	2	1	0	1	1	4	3	3	4	1	0	0	0	74
33	28	45	14	6	21	3	0	3	3	1	3	2	1	1	0	0	1	2	1	0	4	4	4	4	1	0	0	0	91
17	36	30	37	7	23	0	0	4	4	2	0	0	1	1	2	1	2	0	1	0	4	4	4	3	0	1	0	0	49
25	34	30	31	4	13	13	0	2	5	2	1	1	1	2	0	1	1	0	2	1	4	3	4	4	0	1	0	0	39
15	39	35	31	6	3	21	0	3	2	4	1	0	2	2	0	0	1	1	2	1	4	3	3	4	0	1	0	0	71
25	44	33	18	3	10	4	13	1	4	2	3	0	1	2	1	1	3	0	0	0	4	4	4	4	0	0	1	0	33
29	15	20	56	2	3	0	25	3	1	2	4	1	0	1	2	1	0	0	3	0	3	4	3	4	0	0	1	0	75
17	21	38	44	10	3	2	15	3	2	1	4	0	1	2	1	1	0	1	2	0	4	4	4	3	0	0	0	1	70
33	15	30	42	0	10	20	0	3	2	4	1	1	0	1	2	1	1	0	2	1	3	4	4	4	0	0	0	1	94
7	38	38	37	5	14	0	11	4	4	0	2	0	1	1	2	0	2	1	1	0	4	4	3	4	0	0	1	0	40
