17	41	45	17	4	3	0	3	0	3	1	0	0	0	3	1	44
22	30	50	18	2	2	4	2	0	1	2	1	1	1	2	0	109
11	47	30	32	1	2	3	4	0	2	1	1	0	2	1	1	4
34	46	21	19	4	2	1	3	1	2	1	0	1	2	0	1	27
34	21	21	44	3	2	3	2	1	1	0	2	1	0	1	2	61
35	44	18	23	3	1	3	3	1	2	0	1	2	1	1	0	49
24	22	27	47	4	1	3	2	0	1	1	2	1	0	1	2	69
32	17	54	17	3	2	3	2	0	1	3	0	2	0	1	1	91
21	19	64	16	4	1	3	2	0	0	3	1	1	1	2	0	99
36	27	26	31	2	1	3	4	0	2	0	2	3	0	1	0	32
22	59	21	18	1	3	2	4	2	1	1	0	0	4	0	0	54
26	43	17	34	4	2	1	3	0	2	1	1	2	1	0	1	90
25	9	27	59	1	3	1	5	0	0	1	3	1	0	1	2	2
25	36	20	39	4	1	2	3	1	1	0	2	1	2	1	0	59
40	34	22	24	2	4	2	2	2	1	1	0	1	2	0	1	70
9	46	52	13	5	2	2	1	0	2	2	0	0	2	2	0	86
43	38	13	26	4	2	2	2	1	2	0	1	2	1	0	1	69
23	26	24	47	3	4	2	1	0	0	1	3	1	1	1	1	28
25	23	61	11	2	3	3	2	0	0	4	0	2	1	1	0	91
20	45	19	36	1	4	2	3	1	2	0	1	0	2	1	1	18
30	40	39	11	1	5	3	1	1	3	0	0	1	0	3	0	56
48	24	17	31	2	4	3	1	1	1	1	1	3	0	0	1	66
37	17	43	23	2	1	2	5	2	1	1	0	1	0	2	1	65
