Mode: 5 (N=200,HP) #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
21	8	0	15	24	39	3	11	10	32	12	5	6	34	26	13	37	18	27	35	0	0	42	1002	0	297	190	183	0	0	194	0	0	
8	24	23	17	9	7	11	39	28	31	37	27	36	3	18	32	4	25	26	20	0	1	109	308	206	0	625	0	384	198	0	176	0	
4	18	15	2	39	30	21	27	24	3	7	23	19	28	34	5	0	13	37	17	0	2	71	0	0	192	0	546	180	162	0	154	0	
10	39	5	15	13	19	20	16	12	28	17	21	25	31	38	22	2	32	18	36	1	1	79	0	821	436	230	0	466	365	270	176	0	
31	20	36	17	4	5	16	30	11	3	7	18	2	37	34	35	39	33	29	13	0	3	32	0	215	312	201	0	210	0	268	176	0	
4	39	1	36	34	28	18	21	14	6	33	27	17	11	22	10	7	35	26	29	0	2	61	217	0	869	333	222	0	377	0	176	0	
19	27	8	14	4	30	26	23	15	1	37	22	7	29	3	20	34	28	2	21	1	0	30	1068	270	0	344	226	0	380	181	0	0	
32	33	11	5	16	20	18	30	27	4	36	2	10	39	34	25	24	31	21	6	3	1	44	312	210	245	0	214	0	278	0	0	0	
26	27	29	30	11	38	14	31	37	20	17	8	4	9	34	33	19	36	23	35	1	3	90	441	310	346	324	222	0	361	260	179	0	
8	12	9	16	39	34	28	35	13	38	7	29	14	18	5	10	21	24	26	32	3	2	72	224	0	832	284	223	0	365	0	176	0	
0	5	17	21	8	37	27	38	11	26	13	4	25	1	31	20	16	9	39	14	1	3	65	321	212	0	232	0	208	0	256	174	0	
27	29	1	20	10	19	37	35	22	18	21	11	32	17	13	6	14	25	26	9	3	0	30	1102	952	413	300	218	0	370	184	0	0	
2	38	34	31	15	19	3	30	12	20	11	17	22	25	28	24	5	39	26	14	3	0	80	906	345	242	0	0	0	276	186	178	0	
15	31	6	8	19	10	0	16	20	26	28	23	22	1	17	12	4	18	38	3	1	1	44	422	321	249	236	0	0	364	268	173	0	
2	34	27	22	23	25	37	14	3	24	21	13	6	10	17	38	9	32	28	31	0	1	61	0	0	0	521	404	282	192	0	0	0	
31	16	39	4	25	3	8	12	27	18	23	29	19	5	1	37	2	22	14	24	3	2	59	223	206	0	625	480	365	0	251	0	0	
29	0	1	20	24	9	7	12	8	25	19	23	11	4	31	27	3	37	38	13	2	2	94	432	309	0	589	548	425	239	182	0	0	
2	9	1	3	38	20	8	34	18	29	28	14	10	7	27	4	25	33	0	39	2	3	104	0	720	0	523	218	0	201	0	0	0	
5	1	0	14	3	12	10	37	19	21	7	32	34	15	16	24	31	20	33	38	0	3	24	315	0	775	666	0	474	365	264	171	0	
24	14	26	9	20	0	10	22	16	5	36	13	4	7	19	1	32	30	38	2	0	0	90	1056	372	348	235	0	480	380	271	181	0	
7	4	23	20	26	27	5	28	12	15	34	22	8	33	38	10	16	36	17	24	0	0	19	1084	468	353	234	600	476	374	0	171	0	
25	5	38	13	36	28	19	39	7	2	8	18	22	11	1	15	10	12	31	30	2	1	31	206	0	349	234	0	469	360	0	180	0	
9	35	34	22	1	14	16	5	4	15	7	32	26	33	20	24	39	19	11	13	0	1	68	423	315	354	237	0	478	369	0	159	0	
17	16	1	35	9	5	27	22	21	30	37	15	10	4	6	11	12	32	0	36	1	2	55	338	210	194	0	512	0	193	181	0	0	
17	38	4	19	3	31	18	1	6	32	16	39	5	8	29	36	23	7	13	12	1	2	91	326	212	0	532	0	380	271	175	0	0	
29	36	2	6	5	9	37	31	21	33	39	0	23	14	38	25	3	16	8	17	3	3	97	436	302	374	324	215	200	0	256	174	0	
28	19	3	21	4	12	36	31	1	39	26	29	9	14	20	16	2	23	38	37	2	3	103	207	0	702	187	0	443	195	0	167	0	
15	7	19	0	38	23	37	5	29	39	1	26	8	13	24	32	11	33	18	22	3	0	95	1076	202	0	709	0	202	0	260	172	0	
30	16	11	10	4	22	3	1	21	38	34	26	32	9	31	5	2	15	18	25	3	1	52	206	0	485	0	182	173	272	185	0	0	
18	30	13	12	25	38	35	39	32	29	0	14	15	5	11	9	26	23	17	36	2	0	44	953	849	729	580	0	479	369	0	164	0	
16	22	31	18	12	14	6	25	2	3	7	30	20	21	35	38	32	29	28	26	3	2	91	0	812	777	0	215	0	364	260	172	0	
18	4	27	32	39	30	5	15	7	36	3	19	24	8	26	21	11	22	31	2	1	1	31	0	934	815	439	316	207	0	0	175	0	
31	15	18	34	8	7	20	32	35	39	5	25	4	6	1	36	33	28	14	17	0	2	48	427	310	236	0	594	209	0	261	172	0	
16	3	18	13	10	17	6	22	34	5	28	26	4	24	12	39	36	7	9	23	2	3	76	561	0	793	0	589	470	364	0	168	0	
27	31	12	2	35	16	21	0	15	13	38	8	24	34	37	32	39	28	30	19	3	3	75	223	0	739	327	216	0	371	0	176	0	
5	22	23	26	19	0	11	38	7	3	8	13	15	17	34	14	32	36	1	4	0	0	83	1000	879	245	0	404	479	0	271	166	0	
37	31	24	6	32	14	16	18	19	28	38	1	39	3	0	5	29	20	17	10	2	0	51	1003	0	0	635	0	459	347	264	171	0	
9	13	27	18	29	19	28	31	20	34	39	30	14	21	36	23	26	3	24	37	0	1	39	0	978	211	0	602	481	381	0	175	0	
36	15	8	32	33	31	22	29	5	35	37	13	27	14	24	6	17	26	12	19	3	1	71	321	0	200	0	513	386	287	0	171	0	
25	4	16	2	21	34	32	19	14	27	30	20	12	15	0	26	3	24	36	18	3	2	8	335	212	204	0	273	180	163	0	150	0	
32	9	0	18	25	15	35	20	5	7	8	16	22	4	3	24	23	27	36	30	2	2	53	213	0	204	193	0	462	356	258	170	0	
19	12	23	34	29	31	30	21	32	6	2	3	0	8	1	10	17	4	33	18	0	3	86	225	0	667	228	215	0	367	189	175	0	
39	27	16	9	36	38	30	4	3	25	5	17	24	19	7	2	32	12	11	33	0	3	80	441	324	208	235	0	216	0	270	173	0	
9	26	22	6	5	27	3	23	0	38	12	11	25	36	8	4	7	17	19	34	1	0	71	994	846	203	614	0	386	282	270	172	0	
28	18	21	9	27	15	6	10	8	24	14	34	0	17	31	26	37	35	1	33	3	0	27	1089	935	811	386	548	462	354	262	171	0	
21	2	18	8	10	34	9	19	32	7	25	35	26	28	27	39	24	0	29	37	2	1	94	370	0	855	720	580	465	0	267	165	0	
1	26	7	4	6	0	17	12	28	32	36	5	18	38	29	21	22	2	33	24	0	1	79	426	212	0	735	219	467	368	0	178	0	
10	5	16	25	8	14	20	7	4	2	17	21	0	13	11	39	38	22	1	34	1	2	49	326	210	807	0	576	461	356	263	163	0	
1	8	33	38	2	0	15	7	19	32	23	6	12	17	20	25	27	28	13	34	1	2	26	212	321	205	236	499	392	290	272	163	0	
8	13	39	25	6	35	23	19	14	15	4	26	28	21	29	36	32	37	30	20	0	3	16	210	0	760	347	575	200	0	0	172	0	
16	34	22	25	11	12	28	20	23	31	33	27	2	19	1	5	8	35	14	29	3	3	33	443	362	251	644	516	491	0	183	169	0	
1	9	36	12	11	6	35	15	28	38	5	23	25	3	29	14	39	33	26	24	2	0	106	991	209	197	286	229	0	366	0	172	0	
