Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
29	32	46	13	4	21	0	5	3	3	0	4	1	1	2	0	1	1	2	0	0	4	4	3	4	0	0	1	0	90
30	37	31	22	2	11	3	14	2	2	3	3	1	2	1	0	1	1	1	1	0	4	3	3	3	0	0	0	1	31
21	40	33	26	2	13	0	15	1	4	3	2	0	1	1	2	1	2	1	0	0	4	4	4	4	0	1	0	0	43
28	50	24	18	0	15	5	10	3	2	3	2	1	2	1	0	1	2	0	1	0	4	4	4	4	1	0	0	0	83
24	19	47	30	4	2	13	11	2	3	3	2	1	0	2	1	0	1	2	1	0	4	4	4	4	1	0	0	0	92
15	33	21	51	2	21	7	0	5	3	2	0	1	1	1	1	0	2	0	2	0	4	4	3	3	1	0	0	0	69
28	17	51	24	21	3	4	2	3	3	2	2	1	0	3	0	1	1	0	2	1	4	4	4	4	0	1	0	0	68
32	36	23	29	4	11	0	15	2	3	1	4	2	2	0	0	0	1	1	2	0	3	4	4	4	0	0	0	1	44
22	40	23	35	4	12	0	14	2	4	0	4	0	2	0	2	1	1	1	1	0	4	4	3	3	0	0	1	0	25
18	12	40	50	0	2	13	15	3	2	2	3	1	0	1	2	0	0	2	2	0	4	3	4	4	0	1	0	0	56
40	26	9	45	10	11	5	4	2	2	4	2	1	2	0	1	2	0	0	2	0	4	4	4	4	0	1	0	0	55
35	35	42	8	10	0	14	6	2	0	3	5	1	0	3	0	2	2	0	0	1	4	3	4	3	1	0	0	0	64
14	32	51	23	12	18	0	0	4	4	1	1	0	2	2	0	1	0	2	1	0	4	4	4	4	0	0	0	1	49
22	17	57	24	4	0	13	13	3	1	3	3	0	1	2	1	1	0	3	0	0	4	4	4	4	0	0	1	0	74
22	39	18	41	5	11	4	10	3	2	2	3	0	3	0	1	1	0	1	2	0	4	4	4	4	0	0	1	0	27
29	20	40	31	5	0	15	10	4	0	3	3	0	1	2	1	2	0	0	2	1	4	3	4	3	0	0	1	0	43
36	40	26	18	4	26	0	0	3	5	1	1	2	1	1	0	0	2	1	1	0	4	4	4	4	0	1	0	0	63
43	23	45	9	21	0	0	9	5	0	1	4	3	0	1	0	1	1	2	0	1	4	3	4	4	1	0	0	0	106
29	26	23	42	3	10	0	17	3	1	2	4	2	0	0	2	0	2	1	1	0	4	4	4	4	0	0	0	1	40
35	16	38	31	10	2	7	11	4	2	3	1	2	0	1	1	1	1	1	1	0	4	4	3	4	0	0	0	1	105
29	19	52	20	0	5	25	0	1	4	4	1	2	1	1	0	0	0	3	1	1	4	4	4	4	0	0	0	1	82
28	31	41	20	7	0	11	12	2	2	3	3	1	1	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	62
26	32	23	39	3	0	2	25	2	1	2	5	0	2	1	1	1	0	1	2	0	4	4	4	4	1	0	0	0	29
50	22	30	18	11	5	0	14	1	3	0	6	1	1	2	0	3	0	0	1	1	4	4	3	3	0	0	1	0	48
41	21	44	14	15	3	12	0	3	3	2	2	1	1	1	1	2	0	2	0	1	4	4	4	4	1	0	0	0	71
15	34	39	32	0	3	23	4	1	3	4	2	0	2	1	1	1	0	2	1	1	4	4	3	4	0	0	1	0	86
35	18	40	27	4	0	16	10	4	2	3	1	1	0	2	1	2	0	1	1	1	4	4	3	4	0	1	0	0	87
39	35	29	17	23	4	0	3	5	2	1	2	2	0	2	0	1	2	0	1	1	3	4	4	3	1	0	0	0	93
39	19	45	17	2	4	21	3	1	1	3	5	2	0	2	0	1	0	2	1	1	4	4	4	4	0	0	0	1	107
27	27	45	21	11	19	0	0	2	4	1	3	1	0	3	0	1	1	1	1	1	4	4	4	4	0	1	0	0	79
19	27	53	21	0	11	16	3	1	2	4	3	1	1	1	1	0	1	3	0	0	4	4	4	4	0	0	1	0	67
31	42	16	31	5	10	4	11	4	1	3	2	1	1	0	2	1	2	1	0	0	4	4	4	4	0	1	0	0	50
45	41	6	28	0	17	2	11	1	5	2	2	2	1	0	1	1	2	0	1	0	4	3	3	4	0	0	0	1	50
15	16	38	51	3	2	10	15	3	1	4	2	0	0	1	3	1	0	2	1	0	4	4	3	4	1	0	0	0	77
31	37	30	22	13	6	11	0	3	5	1	1	1	1	2	0	1	2	0	1	1	4	4	4	4	0	0	0	1	58
16	36	42	26	13	0	11	6	4	1	3	2	0	1	2	1	1	2	1	0	1	4	4	4	4	1	0	0	0	55
19	12	48	41	2	0	18	10	2	1	5	2	1	0	2	1	0	1	1	2	1	4	4	4	4	0	0	1	0	80
49	13	21	37	2	10	7	11	2	4	3	1	1	0	0	3	3	1	0	0	0	4	3	4	4	0	1	0	0	8
28	15	45	32	0	11	3	16	1	2	3	4	1	1	2	0	1	0	2	1	0	4	3	4	4	1	0	0	0	74
28	35	44	13	5	10	15	0	2	2	3	3	0	1	2	1	1	2	1	0	1	4	3	3	3	0	0	1	0	71
41	29	22	28	6	10	0	14	2	4	2	2	1	1	1	1	2	1	0	1	0	4	4	4	3	0	0	0	1	47
17	34	28	41	4	24	2	0	2	4	4	0	0	1	1	2	0	2	1	1	0	3	4	4	3	0	1	0	0	40
5	26	48	41	0	3	10	17	1	3	1	5	0	0	2	2	0	1	2	1	0	3	3	4	4	0	1	0	0	14
27	31	24	38	6	10	3	11	3	2	2	3	1	1	0	2	1	1	1	1	0	4	4	4	4	0	0	1	0	11
14	63	22	21	0	21	9	0	3	3	3	1	0	3	0	1	1	3	0	0	0	4	4	4	4	0	0	0	1	15
