Mode: 4 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
1	13	15	19	22	26	31	33	35	37	0	2	3	4	5	10	14	27	32	39	1	2	31
2	3	13	14	20	21	24	30	32	37	4	5	15	16	17	23	27	28	33	34	3	2	24
7	12	16	20	21	23	29	32	33	38	4	5	9	10	17	22	25	30	35	39	2	1	59
1	2	4	10	12	29	34	35	36	37	3	8	15	21	22	25	26	28	32	33	2	3	58
0	13	18	22	23	27	29	31	33	37	6	10	11	17	19	20	24	26	28	38	1	2	79
0	9	10	11	16	17	20	31	36	37	2	4	5	6	7	8	12	25	27	33	2	0	18
0	6	10	14	18	19	30	32	34	35	4	5	7	16	20	22	23	24	31	38	2	3	32
6	14	17	18	19	20	22	33	35	38	2	5	7	8	9	21	25	30	32	39	3	0	115
1	11	13	15	16	17	21	23	27	31	0	3	7	10	12	19	28	33	35	37	0	3	45
0	1	15	20	23	24	29	33	35	37	2	6	7	10	11	18	22	27	30	38	3	3	31
3	9	16	17	19	22	23	27	30	31	0	5	6	25	26	28	29	33	35	38	0	1	94
1	3	9	12	25	26	27	28	33	35	0	2	6	8	10	11	15	23	30	32	0	0	51
6	9	16	17	20	21	22	30	31	34	4	5	8	13	25	26	28	32	36	39	3	0	93
0	2	7	8	17	18	26	31	32	33	5	9	11	14	15	19	22	30	35	36	2	1	36
3	4	7	19	24	26	28	33	36	39	5	9	13	14	20	23	29	35	37	38	2	1	103
1	6	9	11	12	14	21	30	35	39	2	7	8	13	16	17	20	29	32	34	2	2	27
1	3	7	12	15	18	30	32	33	38	0	4	9	10	11	21	24	29	36	37	0	0	49
0	6	11	12	16	24	27	33	34	38	1	5	8	9	13	22	23	30	31	37	2	1	24
5	6	7	11	16	22	26	32	36	37	1	2	8	9	12	14	24	31	33	39	3	2	47
4	5	10	19	21	23	24	33	36	38	2	3	8	13	14	17	25	26	32	34	1	2	58
1	10	12	13	23	26	28	29	30	32	4	6	7	19	20	22	33	35	38	39	2	3	100
1	3	4	5	9	12	13	18	21	25	0	10	15	17	24	27	28	29	30	33	0	1	75
8	10	15	17	20	23	25	32	33	39	6	9	11	13	14	24	27	31	34	36	0	2	72
1	3	10	11	13	17	24	34	35	39	0	2	4	15	16	22	27	32	33	38	3	3	38
2	6	7	12	16	21	25	29	37	38	1	3	5	11	17	19	20	24	27	28	2	3	96
0	4	10	15	23	24	31	32	36	39	3	7	8	9	12	20	21	28	33	35	1	2	35
10	12	14	15	17	18	21	26	29	37	5	7	11	16	25	27	28	30	36	38	3	0	17
3	7	9	11	14	15	19	23	24	28	5	6	13	16	17	18	20	25	26	33	1	3	93
0	7	9	10	12	15	18	20	30	36	2	3	14	21	27	28	29	33	34	39	2	0	83
1	4	7	8	10	17	18	19	28	35	2	9	13	14	15	30	34	36	38	39	2	3	57
1	8	10	11	13	14	15	23	26	27	2	6	7	18	20	22	28	32	35	39	1	1	50
0	2	4	6	17	24	29	33	34	37	3	8	11	13	22	25	30	31	35	39	2	0	13
0	5	9	16	18	21	26	30	31	39	7	8	13	20	24	27	28	32	33	37	2	1	72
7	10	11	20	25	27	32	33	35	37	0	4	5	6	13	15	19	30	34	39	0	0	56
2	11	13	20	25	29	31	32	35	37	0	1	4	5	6	15	18	21	26	33	2	0	51
2	8	13	20	25	31	32	34	35	38	9	10	14	18	19	21	27	29	33	39	1	2	116
7	11	12	13	14	18	24	34	35	36	0	4	16	22	25	29	31	32	33	39	2	1	38
7	14	15	16	19	26	27	28	30	36	0	5	8	10	13	24	25	31	33	37	0	2	45
2	5	6	16	18	20	22	23	29	36	8	9	10	11	13	25	32	33	38	39	3	2	73
8	12	13	21	22	24	27	29	32	37	6	7	15	16	18	20	23	30	33	39	2	1	43
0	2	5	10	12	13	21	34	37	39	6	7	11	15	18	26	27	32	33	38	3	3	49
3	6	12	13	14	21	24	28	30	31	5	7	8	10	25	27	32	35	36	37	3	3	52
0	4	15	19	21	27	28	29	31	33	6	7	8	14	22	24	26	30	34	36	0	2	46
2	14	21	22	26	30	31	36	38	39	1	6	8	13	18	20	24	27	29	37	0	3	45
6	13	14	17	21	24	26	29	33	35	2	3	4	15	20	27	32	34	36	39	1	0	60
6	13	15	21	27	30	31	32	35	37	3	10	12	18	19	22	26	28	29	36	0	0	45
0	4	9	10	17	20	23	26	27	29	15	16	18	21	22	24	28	31	34	36	3	0	56
0	4	8	9	12	14	29	32	34	36	1	3	5	7	13	15	23	24	37	38	2	3	28
0	9	10	14	29	31	32	33	36	37	1	5	12	13	18	19	22	28	35	38	0	1	60
7	10	12	15	21	22	24	25	29	37	1	6	9	13	18	19	26	30	36	38	3	1	80
7	10	13	14	17	18	21	22	28	38	0	9	11	19	27	30	32	35	36	37	0	1	15
1	4	7	16	22	23	24	28	29	38	2	9	11	13	14	15	27	31	32	35	2	0	66
1	10	11	14	15	18	23	25	32	39	0	12	16	17	22	24	31	33	35	38	3	1	73
0	8	14	22	23	25	28	30	33	34	2	3	4	5	13	15	16	19	26	32	0	2	68
4	5	7	8	9	15	17	18	32	39	0	12	14	16	24	25	26	28	33	36	3	2	101
9	10	12	21	24	28	34	36	38	39	0	3	4	6	11	14	16	20	23	30	2	2	70
0	1	24	28	29	31	32	33	37	39	4	6	13	15	22	25	26	30	34	38	1	2	42
4	7	8	12	17	25	27	35	36	39	2	5	6	14	15	16	18	31	32	38	1	1	78
0	4	8	14	15	16	28	30	37	38	5	7	10	18	20	24	25	26	34	35	2	3	42
1	6	10	16	17	20	23	24	30	38	4	5	7	12	14	15	26	32	34	36	2	3	14
0	4	5	10	13	18	26	29	31	35	12	16	17	19	25	28	32	37	38	39	1	3	120
4	5	8	11	14	22	28	29	32	39	1	2	3	6	10	17	21	31	37	38	2	3	69
3	5	10	13	17	18	22	27	32	39	0	2	9	15	23	25	28	34	35	37	1	2	55
3	6	11	15	16	17	20	24	27	30	9	19	22	23	25	29	31	33	37	39	0	0	69
2	6	7	9	18	20	23	24	29	31	0	11	14	15	25	27	28	33	34	36	3	0	16
0	7	8	12	14	16	20	31	34	35	3	6	10	15	17	22	24	28	30	39	2	0	41
0	7	8	10	13	18	22	24	31	39	2	6	9	12	15	16	21	32	34	36	2	3	45
0	4	11	12	13	16	29	31	32	37	7	9	15	17	18	24	25	26	35	38	3	0	70
2	3	5	6	7	11	12	13	23	38	8	10	17	20	21	22	24	36	37	39	2	1	36
0	2	3	16	21	26	27	33	38	39	1	4	11	13	14	15	20	28	32	36	0	1	49
1	3	5	6	11	15	20	23	32	34	0	14	16	19	25	26	35	36	37	38	1	1	15
0	9	17	20	30	31	34	36	38	39	1	2	3	5	6	13	19	23	28	37	0	0	99
3	5	9	12	18	22	25	27	31	33	2	6	8	19	26	30	32	34	37	38	0	1	91
5	6	14	20	22	23	24	25	27	36	0	3	7	10	11	12	16	18	26	32	2	2	20
5	8	15	20	22	25	26	29	36	37	2	6	7	11	12	18	19	21	27	32	2	2	66
0	4	7	13	31	32	36	37	38	39	3	8	12	15	23	24	25	28	34	35	1	2	39
3	4	10	11	17	23	26	28	29	30	2	7	8	12	18	22	31	33	35	36	2	3	75
6	12	13	19	23	29	34	37	38	39	1	3	4	11	20	24	25	28	30	35	3	2	80
0	4	8	17	19	24	30	32	33	34	10	13	14	21	25	26	27	31	35	39	0	3	51
19	20	23	24	25	31	32	33	37	39	0	3	5	6	8	10	11	14	22	34	3	1	89
9	16	18	19	20	23	24	32	35	36	0	1	4	21	22	26	27	28	30	34	3	3	39
1	2	3	11	18	25	26	28	31	38	4	8	15	16	19	22	23	27	37	39	3	2	43
1	6	7	11	16	17	22	24	31	34	0	2	3	10	15	20	23	27	28	32	0	0	49
2	7	9	12	14	20	23	26	30	39	3	15	17	19	21	24	27	29	34	36	3	0	71
0	9	12	20	21	23	26	28	30	31	5	6	10	13	22	24	25	32	33	36	3	3	20
1	5	6	16	19	23	31	32	34	36	2	11	12	18	25	27	30	35	37	39	3	3	81
2	5	9	10	15	17	19	31	34	35	1	8	12	16	18	22	24	27	30	38	3	0	83
5	6	8	11	14	16	22	27	31	36	2	3	4	12	23	33	34	35	37	39	2	1	20
3	4	10	12	19	25	29	30	31	34	1	6	8	9	11	14	16	17	24	26	2	1	56
4	5	11	15	18	22	24	25	28	39	0	1	2	3	9	14	20	30	31	32	3	0	28
3	15	18	19	20	21	29	31	33	39	0	1	2	6	8	9	11	12	17	28	2	0	91
3	9	10	14	16	21	33	37	38	39	4	6	12	15	17	20	22	23	31	34	0	1	32
4	6	9	14	17	22	26	28	38	39	0	5	7	8	15	21	25	27	30	32	2	2	63
0	6	15	17	22	26	27	33	34	37	3	4	7	20	21	25	29	30	35	36	1	1	38
2	5	15	19	21	27	29	30	31	37	7	10	12	13	16	17	18	25	26	28	3	2	5
0	1	3	10	12	19	23	24	26	34	2	8	9	13	15	22	35	36	37	38	2	1	39
