Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	3	8	10	11	12	28	33	36	38	7	9	14	19	21	22	30	31	32	39	2	0	36	164	53	0	0	0	0	4	1	0	0	
3	7	8	13	20	23	25	28	38	39	0	4	6	9	15	18	27	32	36	37	0	1	107	50	0	23932	13	32	0	4	0	0	0	
3	4	7	12	13	26	30	32	34	37	1	6	10	15	24	27	28	29	31	35	2	2	44	89	0	0	0	380	10	2	0	0	0	
5	8	9	12	19	23	24	28	30	37	11	17	18	22	25	27	31	35	36	39	0	3	31	35	70	73	228	2	0	13	1	0	0	
2	3	11	12	15	16	28	32	34	35	5	8	18	21	22	23	31	36	38	39	1	0	92	1131	103	82	0	193	0	2	0	0	0	
1	9	11	12	13	19	21	22	31	32	3	4	5	6	7	10	16	24	28	36	1	1	75	97	0	16336	341	196	5	2	0	0	0	
1	3	7	10	13	15	32	33	34	39	5	8	9	14	17	19	23	27	31	37	3	2	102	124	845	480	2946	0	8	1	0	0	0	
5	7	12	15	21	23	30	33	34	37	3	10	11	13	17	18	19	26	28	38	2	3	40	84	102	126	0	31	0	0	1	0	0	
5	8	14	19	31	34	36	37	38	39	7	15	18	21	23	24	25	26	27	35	2	0	61	1848	15703	1431	5174	930	0	3	1	1	0	
1	6	7	10	11	14	17	26	30	37	0	2	9	19	20	22	27	29	32	34	3	1	77	0	5268	0	116	271	5	3	0	0	0	
0	8	11	24	25	28	33	34	35	36	1	2	16	17	19	29	30	31	32	38	3	2	89	326	0	324	192	368	10	1	0	1	0	
5	6	9	10	11	12	18	19	29	35	0	1	4	14	15	20	25	26	36	39	1	3	111	160	0	125	105	0	43	1	1	0	0	
5	7	11	12	14	20	21	22	31	37	2	3	4	9	24	27	28	32	33	34	3	0	61	117	0	0	138	619	0	1	0	0	0	
0	4	5	15	18	23	26	32	33	38	8	12	19	20	22	24	28	29	30	37	0	1	61	148	0	102	37	58	3	1	0	0	0	
3	6	9	13	27	30	34	37	38	39	5	14	18	19	20	24	26	32	33	36	2	2	86	241	287	10315	0	491	0	2	1	0	0	
13	19	20	26	30	33	36	37	38	39	2	3	6	10	11	14	16	31	34	35	0	3	4	659	0	3001	776	336	12	1	0	0	0	
0	5	6	12	17	18	26	27	29	38	1	7	9	10	11	14	24	31	33	36	1	0	77	378	1257	0	11939	167	7	0	1	0	0	
5	19	21	22	25	28	33	36	37	38	2	6	9	10	11	16	18	20	30	39	1	1	82	0	28135	18565	3551	305	10	1	1	0	0	
3	15	21	23	24	26	27	30	33	36	1	2	8	12	17	29	32	37	38	39	3	2	98	0	28497	226	0	579	78	7	1	0	0	
4	5	11	17	21	23	25	26	36	37	8	13	15	16	27	28	29	31	32	39	0	3	19	141	37	0	252	0	59	1	0	1	0	
3	15	16	18	23	25	26	27	28	33	1	7	8	13	17	29	31	35	36	38	3	0	35	1151	344	113	0	226	0	1	1	0	0	
2	9	14	16	19	21	24	34	36	39	0	4	6	10	17	26	27	30	33	37	2	1	59	56	0	50	0	3	20	0	1	0	0	
3	4	5	9	12	27	28	30	35	37	14	21	22	23	25	26	32	33	34	38	1	2	23	80	0	99	168	218	2	0	1	0	0	
0	7	10	11	14	15	20	32	33	37	2	4	5	8	13	16	21	35	36	38	1	3	79	0	549	0	26371	264	14	2	1	0	0	
2	4	5	11	14	18	23	24	26	38	0	13	22	25	28	30	31	32	33	39	3	0	67	268	40	0	0	200	7	1	0	0	0	
9	11	14	15	17	19	27	30	32	34	0	7	8	13	16	20	23	25	29	33	3	1	69	634	67	0	661	257	19	0	1	0	0	
0	3	8	10	11	17	19	24	28	32	12	15	22	25	26	29	33	35	36	37	3	2	57	76	0	489	13336	515	17	7	0	0	0	
3	11	14	15	18	22	23	27	29	33	0	1	5	10	19	20	26	31	36	38	2	3	79	202	0	1409	227	3	0	0	1	0	0	
2	4	7	11	13	16	24	27	32	36	0	8	9	10	20	25	26	28	31	34	0	0	59	259	0	254	34190	87	0	5	1	0	0	
0	5	8	11	12	16	25	31	35	37	1	3	14	15	19	22	23	30	36	38	1	1	20	75	47	0	75	2	0	0	0	0	0	
4	7	9	11	13	14	16	25	31	36	2	3	6	12	18	20	21	24	27	39	1	2	55	64	518	29	0	704	2	0	1	0	0	
3	9	11	13	16	17	20	29	30	38	0	2	12	18	21	23	32	33	36	37	2	3	63	89	1534	73	0	266	1	1	0	0	0	
7	11	14	19	20	23	27	28	33	38	4	9	10	18	25	30	34	35	37	39	0	0	88	1982	3387	0	100	0	7	3	0	0	0	
2	13	17	18	19	20	24	29	34	37	3	5	6	9	11	23	26	35	38	39	1	1	96	81	63	660	0	4	11	1	0	0	0	
0	6	10	15	20	22	29	32	38	39	2	7	11	12	18	24	25	27	28	36	3	2	61	31	0	424	123	0	8	3	0	0	0	
0	8	12	16	20	21	23	25	30	32	2	4	5	11	14	17	29	34	36	37	3	3	23	62	119	135	0	166	0	1	0	0	0	
