Mode: 22 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	6	10	12	19	22	23	24	29	34	1	5	7	8	13	16	27	28	32	39	1	3	79	230	3465	0	1022	898	61	8	17	0	0	
2	10	12	14	23	26	31	34	36	37	1	8	11	13	16	20	22	24	30	32	1	0	21	3211	198	0	357	886	99	16	9	31	0	
3	4	7	15	23	25	27	30	33	39	0	5	10	12	14	17	19	20	26	34	2	1	48	0	302	453	5249	12	44	21	0	6	0	
0	2	10	12	13	16	26	29	30	31	1	5	8	9	14	18	20	27	38	39	0	1	86	151	93	0	67028	0	55	5	0	0	0	
0	5	10	12	17	19	26	27	28	38	4	9	11	13	15	29	30	31	32	33	2	2	89	318	3196	0	54323	469	17	14	3	7	0	
2	8	12	14	16	24	28	32	34	35	10	13	17	19	20	25	29	30	33	36	1	2	100	168	2493	2796	0	1585	359	0	1	0	0	
2	8	9	15	20	27	30	31	33	35	7	11	18	19	21	28	29	32	36	37	3	3	77	0	38906	464	1734	411	0	23	12	2	0	
4	6	10	12	15	22	27	31	34	35	2	3	8	11	14	17	20	21	23	30	0	0	28	938	0	152	54	49	0	12	12	14	0	
0	1	2	5	6	8	10	23	25	29	3	7	13	14	18	19	24	27	31	36	2	1	61	2403	5448	3992	8142	0	151	0	5	5	0	
1	2	11	14	17	18	25	26	30	36	3	5	7	16	19	21	31	34	38	39	1	2	88	0	0	311	0	1490	78	0	11	4	0	
2	6	8	11	18	19	21	24	27	28	1	4	7	17	22	29	30	35	36	38	2	3	82	2351	331	328	675	8	0	4	1	1	0	
0	3	16	17	22	29	33	34	38	39	2	9	10	15	20	23	25	27	35	37	1	3	90	307	0	200	576	819	37	0	4	0	0	
0	1	5	8	9	11	18	28	34	39	2	10	12	15	16	19	25	31	35	38	1	3	112	791	256	109	0	0	244	0	5	0	0	
14	15	17	18	20	23	29	30	35	38	3	4	8	10	12	13	19	24	26	36	3	0	81	2985	12516	1377	812	0	16	0	1	1	0	
2	3	5	8	12	15	28	31	33	39	0	1	4	16	17	18	19	23	34	38	3	1	69	75	0	2454	182	304	0	9	12	1	0	
4	6	7	16	24	29	30	31	32	34	5	9	10	17	20	21	23	26	28	38	1	2	42	116	76	47	0	4	0	0	1	0	0	
0	4	5	7	15	22	24	27	28	38	9	14	17	21	25	29	32	33	35	36	0	3	61	162	157	0	894	7	367	7	1	1	0	
5	6	10	20	22	23	28	31	36	39	0	4	11	16	25	26	27	35	37	38	0	0	40	1295	1720	138	85	0	8	0	0	1	0	
2	13	14	17	18	26	29	32	34	39	1	3	6	7	19	21	23	27	28	33	0	1	94	0	614	126	0	6	0	22	1	0	0	
0	9	15	16	18	19	24	33	36	39	4	8	10	11	13	20	27	28	30	34	2	2	65	194	9833	0	2688	3909	0	11	2	0	0	
0	5	11	12	16	22	26	31	32	33	7	10	20	21	24	25	27	29	30	35	1	3	24	156	23	0	78	0	22	0	0	0	0	
2	4	11	13	15	19	22	29	37	39	1	5	7	10	12	16	20	21	31	36	0	0	47	1045	0	411	272	187	14	0	2	0	0	
4	5	6	8	9	13	21	24	30	36	0	1	3	7	14	18	19	20	29	31	3	1	89	1445	0	1460	3041	1312	205	15	0	1	0	
8	10	15	20	24	28	30	31	35	37	2	4	5	16	19	22	27	32	34	36	1	0	28	774	0	167639	1447	86	0	10	1	0	0	
0	4	7	10	12	23	24	30	38	39	2	3	8	9	13	19	25	26	27	29	0	1	104	0	0	419	1096	302	0	21	1	0	0	
9	11	16	18	20	23	24	26	28	31	3	5	13	14	21	27	29	33	35	36	1	2	49	0	86961	1943	614	480	69	3	1	0	0	
1	7	11	17	25	27	29	30	36	38	2	3	10	12	19	21	23	24	32	39	3	2	98	132	1065	0	3339	0	34	33	0	36	0	
1	7	11	17	25	27	29	30	36	38	2	3	10	12	19	21	23	24	32	39	2	0	90	578	0	3484	2223	6	0	8	4	1	0	
3	4	11	13	17	22	26	29	30	35	2	10	14	23	24	28	32	33	38	39	3	3	69	293	0	17237	0	4096	57	18	14	2	0	
3	7	10	12	16	22	29	32	36	37	0	2	8	17	18	19	20	26	30	38	1	1	50	433	177	0	82	128	0	31	5	3	0	
0	9	11	15	16	20	26	33	38	39	4	6	13	17	18	21	23	31	32	35	2	2	61	86	0	12659	175	962	17	5	7	0	0	
2	12	14	15	17	19	20	25	35	38	3	6	7	11	13	16	18	23	27	31	1	0	90	2162	683	0	65226	0	920	12	1977	1	0	
4	7	8	9	13	15	20	31	33	38	0	2	3	12	16	19	21	23	27	34	2	1	71	242	0	693	296	0	119	15	0	1	0	
12	16	17	20	24	25	27	29	30	38	0	2	4	5	18	26	28	33	34	36	0	2	41	519	16186	669	945	438	3	0	2	0	0	
9	12	13	16	21	25	27	28	32	37	0	2	5	20	23	26	31	33	38	39	2	3	90	541	10723	203	0	0	155	5	1	0	0	
0	2	7	14	16	19	25	27	28	36	4	6	18	20	21	23	26	31	34	37	0	3	36	156	145	91	334	0	36	1	0	0	0	
1	5	7	10	14	17	24	29	36	37	0	3	6	11	12	19	20	26	27	30	3	0	70	515	0	695	681	310	0	4	0	0	0	
1	4	11	12	13	23	25	29	32	35	2	5	6	7	15	16	20	22	31	37	0	1	20	103	0	231	534	178	11	0	1	0	0	
0	1	6	12	14	15	17	30	33	39	2	3	4	8	16	18	24	25	32	38	3	2	40	601	0	621	396	0	81	8	4	3	0	
3	6	8	14	16	17	27	30	31	33	1	2	12	18	21	24	35	36	37	38	2	3	42	244	2562	158	130	0	26	7	0	3	0	
1	3	4	12	22	23	26	28	31	35	2	7	8	10	11	20	27	32	33	34	2	0	57	976	0	416	0	0	71	8	0	2	0	
3	4	11	13	20	22	25	27	32	35	0	1	10	15	17	26	28	30	36	37	2	1	66	192	0	0	0	856	15	8	0	1	0	
0	15	18	19	21	25	26	33	36	39	5	9	11	12	13	20	22	24	29	31	0	2	60	725	226	0	0	636	10	3	0	0	0	
5	6	7	12	30	31	33	37	38	39	11	16	17	19	20	21	25	27	29	36	3	0	107	2622	2434	2561	2579	2796	228	37	68	10	0	
0	12	16	17	20	21	27	28	37	39	3	5	7	8	13	18	22	25	32	36	0	1	69	401	18437	691	0	13	0	78	99	27	0	
1	3	8	17	19	20	21	22	38	39	2	9	10	13	16	18	28	30	32	37	1	2	95	0	51	0	4300	0	36	0	2482	0	0	
0	1	4	11	13	20	21	25	30	39	6	8	10	12	14	16	27	34	35	38	1	3	59	41	0	0	140	819	0	8	1	1	0	
8	10	11	12	24	28	31	33	34	38	1	4	5	7	9	15	19	22	25	27	0	3	102	0	0	0	46136	1623	114	0	38	11	0	
2	3	7	10	13	19	20	27	28	32	5	8	9	17	24	25	29	34	36	39	0	0	101	3088	4303	0	249	143	0	55	0	6	0	
2	3	5	9	11	13	23	32	35	36	10	14	17	18	21	24	33	34	37	38	0	1	40	0	807	693	2314	1502	55	891	4	0	0	
3	10	12	23	25	26	27	29	33	35	6	8	11	15	19	20	22	32	36	39	1	2	67	987	9484	452	0	540	68	29	1	1	0	
0	10	12	19	27	30	34	37	38	39	1	3	6	7	8	11	13	17	20	32	0	0	104	1927	1127	0	45868	0	157	59	8	15	0	
8	15	21	25	27	28	31	32	37	38	0	2	3	6	16	17	18	19	20	29	2	3	107	239	21613	0	0	38	0	24	41	15	0	
0	6	23	24	25	27	29	30	31	33	4	8	9	11	12	18	26	28	34	36	1	0	72	2269	0	480	711	3806	25	4	0	0	0	
0	4	6	15	27	30	33	36	37	39	1	2	5	9	12	14	17	18	20	21	0	1	51	857	13984	0	27228	1711	141	12	5	4	0	
2	7	12	13	18	22	31	32	37	38	10	15	16	23	24	26	27	34	36	39	3	1	58	164	240	5883	0	7333	94	9	5	1	0	
2	5	7	14	22	27	28	35	38	39	0	1	8	10	20	26	30	32	33	37	0	2	90	0	20916	110	0	2365	5	0	1	1	0	
6	10	18	20	21	24	26	29	30	35	2	4	8	9	14	17	31	32	33	34	3	3	43	0	13359	0	938	6	113	3	1	0	0	
6	8	16	20	22	26	29	32	36	38	0	1	7	9	12	13	21	24	27	34	0	0	75	2094	11444	323	0	9	51	8	0	1	0	
0	1	2	4	10	16	17	34	37	39	5	6	12	18	21	22	23	26	33	35	0	1	48	94	174	0	285	35	1695	229	86	160	0	
0	3	6	8	12	14	15	21	29	36	2	4	5	10	20	23	26	27	32	34	0	2	57	197	0	92764	1969	1124	20	0	2	0	0	
3	5	15	20	22	23	27	31	32	37	1	7	9	11	13	17	21	35	36	39	2	2	82	223	71	414	910	0	250	121	0	324	0	
1	8	10	12	18	27	28	29	33	38	0	2	4	7	9	11	13	17	24	26	1	3	98	327	906	0	4260	0	253	0	13	5	0	
0	3	6	8	14	17	19	23	25	31	2	7	10	13	18	20	24	32	33	38	1	0	79	2055	0	1536	242	0	53	848	1	0	0	
5	17	19	22	25	28	30	34	35	36	0	1	6	9	15	18	21	27	31	33	0	1	96	739	50	0	286	0	223	4	3	1	0	
4	9	13	14	15	16	19	22	30	38	2	5	8	17	18	23	28	31	35	37	2	3	80	744	0	48620	0	2202	173	0	12	9	0	
0	5	6	10	18	19	21	23	28	31	2	8	9	14	15	20	25	26	32	36	1	0	69	5362	34376	1858	135	0	99	0	5	3	0	
0	3	12	14	15	18	22	32	33	39	2	4	7	10	20	21	26	28	35	36	1	1	67	0	644	512	263	9580	50	0	41	11	0	
1	3	4	5	19	24	26	30	32	36	0	6	9	13	14	20	21	28	37	39	3	2	68	647	0	245	0	44	48	17	4	12	0	
2	3	4	5	6	12	14	16	20	21	1	9	15	17	22	23	24	25	30	33	3	3	15	849	748	1428	575	730	96	42	27	19	0	
2	5	12	15	19	22	27	29	37	39	0	4	7	13	16	21	23	30	31	36	2	0	54	2312	0	704	0	238	12	0	4	4	0	
9	11	13	14	15	16	30	32	34	38	0	2	5	20	22	24	25	26	36	37	1	2	80	0	75226	20742	1817	979	306	4	3	1	0	
3	11	18	20	22	29	31	37	38	39	0	2	6	7	8	10	16	24	30	36	3	1	79	1623	16587	355	7005	109	0	0	1	1	0	
13	15	17	20	24	27	31	33	34	35	4	5	7	8	10	11	18	21	26	38	0	3	46	310	117	394	293	694	93	39	82	46	0	
2	4	5	7	9	21	23	24	28	33	0	1	10	14	22	29	30	32	36	37	0	2	66	2376	1450	949	50456	0	69	19	0	1	0	
2	7	14	16	17	18	19	21	24	28	1	3	4	8	11	20	23	26	29	34	3	3	26	800	1338	1366	1495	1360	187	15	1	0	0	
3	12	14	15	18	22	23	34	35	39	1	5	13	16	17	20	21	24	25	29	1	0	37	1012	677	25199	0	12524	11384	64	0	22	0	
1	11	12	17	20	21	31	32	35	38	5	6	7	9	14	16	24	25	27	28	3	1	42	0	2652	7807	0	563	0	0	14	81	0	
1	12	15	21	24	25	27	28	31	33	6	7	13	16	17	19	23	36	38	39	2	2	84	556	0	3497	1015	63	0	114	45	48	0	
