Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
4	7	8	9	10	13	15	18	34	36	2	12	20	21	22	23	24	29	32	33	1	0	69	1498	8113	9286	0	254	52	7	34	17	0	
1	2	9	10	16	20	27	28	29	33	3	5	6	13	17	19	21	22	35	36	1	1	75	0	1577	11795	512	2279	60	1	6	3	0	
2	3	6	9	10	19	21	22	23	33	1	12	13	14	16	20	27	30	37	39	0	2	81	1082	7933	132	0	5	0	13	0	0	0	
0	2	4	10	22	24	28	33	34	37	3	9	11	13	14	16	27	30	35	36	1	3	41	147	126	272	0	1037	6	3	1	0	0	
1	6	7	10	14	17	27	32	33	39	0	2	3	8	12	18	19	21	31	38	1	1	56	0	369	61361	160	0	24	3	1	2	0	
0	13	14	16	17	21	24	26	31	35	1	4	7	9	19	23	25	29	32	38	3	2	70	258	0	752	270	0	9	8	2	4	0	
1	3	5	6	10	12	19	20	34	38	2	4	8	9	11	17	21	22	31	35	2	3	46	679	0	54900	894	2524	74	4	3	0	0	
3	4	6	15	17	25	27	28	31	39	7	9	10	16	18	19	26	32	33	37	1	0	87	363	2021	194	2100	261	0	7	4	0	0	
3	6	8	11	13	17	21	27	32	34	0	2	4	24	26	28	30	33	36	39	0	1	50	600	9908	2627	705	0	1439	0	0	0	0	
1	6	10	11	17	28	31	33	35	38	4	13	15	16	24	26	29	30	32	37	1	2	79	197	759	296	520	0	133	7	2	0	0	
0	6	7	8	16	23	29	30	31	36	1	9	14	15	18	22	27	33	38	39	2	0	61	1230	9136	0	1234	99	0	15	984	0	0	
1	4	10	12	14	19	20	21	33	36	3	7	11	18	24	27	28	30	34	39	3	1	82	0	0	343	10290	0	56	3	1	0	0	
6	10	11	17	21	24	25	36	37	39	3	5	7	12	13	19	20	23	31	34	0	3	56	0	27945	54310	436	1607	16	0	2	1	0	
6	11	14	19	23	29	35	36	38	39	5	7	10	13	16	17	20	21	27	28	0	2	39	260	169	0	14701	899	37	0	34	12	0	
6	9	17	19	21	22	28	31	35	37	3	8	10	12	13	14	15	20	27	33	3	3	42	159	1265	502	0	1317	119	7	1	0	0	
2	5	6	13	20	24	28	29	35	37	1	8	9	15	17	27	31	32	36	38	0	0	96	1105	0	0	4330	367	70	14	4	0	0	
0	6	7	13	15	17	19	25	29	31	1	8	12	21	22	23	24	27	30	38	0	1	67	0	1505	15595	282	0	0	18	5	5	0	
0	11	13	15	21	22	31	33	34	35	4	14	16	17	18	26	27	29	36	38	1	0	71	287	607	452	0	475	48	0	7	9	0	
1	4	14	20	21	22	23	26	29	35	5	9	12	17	19	27	28	30	32	34	3	1	88	0	349	385	0	125	5	12	4	1	0	
2	5	8	9	11	13	24	25	28	35	1	10	14	15	18	23	26	32	36	37	2	2	49	345	0	1760	14274	34	28	0	17	8	0	
7	10	14	18	25	26	29	30	31	39	3	5	15	16	20	21	22	27	32	33	0	2	78	0	14609	207	0	389	8	0	1	1	0	
5	6	11	19	20	24	30	32	34	39	0	8	9	10	15	23	26	27	28	36	0	3	71	673	13734	176	393	0	33	0	4	0	0	
0	3	8	10	17	19	20	34	35	37	2	4	5	13	14	24	26	29	30	32	3	0	10	1006	197	548	116	0	36	51	0	8	0	
5	13	18	22	23	25	26	28	32	36	2	3	4	6	11	19	29	34	35	39	2	3	81	276	0	0	1507	905	25	7	4	3	0	
2	3	7	8	22	25	30	31	33	34	5	9	11	17	18	26	35	36	37	39	1	0	43	842	127	333	611	339	0	9	4	4	0	
10	12	14	23	25	28	29	33	34	39	3	5	6	13	15	17	20	21	26	27	1	1	82	1313	418	9573	22975	1502	174	0	0	0	0	
2	6	11	15	19	23	26	27	33	34	5	9	21	22	25	29	31	32	35	38	0	1	82	0	0	1802	0	337	43	21	4	0	0	
0	2	4	5	15	16	18	22	35	36	3	10	21	23	24	25	29	37	38	39	3	2	34	0	572	36	192	0	45	0	15	13	0	
0	4	5	10	12	15	17	19	31	32	3	6	8	13	18	20	24	29	38	39	2	2	62	1590	1903	2579	0	1860	0	32	3	15	0	
5	7	11	13	17	19	23	27	35	37	2	3	10	12	16	18	25	31	32	34	0	3	26	538	3111	178	0	18	0	8	0	3	0	
2	11	12	13	19	24	27	28	34	35	8	9	14	15	16	20	21	23	31	32	0	3	46	274	142	289	157	0	5	0	0	1	0	
3	12	13	14	22	28	29	33	34	36	1	2	4	6	11	19	25	30	35	38	2	3	73	240	0	339	730	226	23	8	0	3	0	
12	15	19	24	27	29	31	33	36	38	1	6	9	10	16	25	28	30	35	37	1	0	79	1757	10300	1191	41229	1833	123	8	4	0	0	
3	4	8	12	22	31	32	33	34	37	9	15	17	18	19	20	23	25	27	28	3	1	79	65	60	139	173	0	25	29	2	0	0	
4	11	14	15	18	19	23	28	29	37	9	13	16	20	21	22	27	31	33	39	0	0	52	1675	771	31996	0	1743	464	10	1	1	0	
0	2	3	7	8	16	23	27	31	37	1	4	9	10	12	13	26	28	32	34	1	1	24	101	0	343	10900	0	52	51	21	8	0	
2	5	8	20	25	26	31	33	38	39	0	6	10	13	18	21	28	30	34	37	1	2	42	576	27696	907	14947	0	10	1	1	0	0	
1	3	4	7	16	19	28	31	35	39	0	9	10	11	12	14	17	20	22	37	0	3	110	134	68	0	9609	44	0	12	0	0	0	
0	1	2	11	23	24	25	30	31	32	3	5	10	19	20	22	26	29	34	38	0	0	45	256	97	219	0	0	4	0	0	0	0	
3	6	8	14	22	26	29	31	32	34	2	5	7	11	17	20	21	24	33	38	1	1	39	0	491	227	103	192	5	2	0	0	0	
2	5	7	11	12	20	22	30	34	36	8	9	13	18	21	24	28	29	31	33	2	2	87	117	252	94	0	218	11	1	0	1	0	
